ingredient,dii_score,matched_nutrients,total_nutrients,match_percentage,general people inflammation,Sam inflammation,Andrea inflammation,10:0,12:0,14:0,16:0,16:1,18:0,18:1,18:2,18:3,18:4,20:1,20:4,20:5 n-3,22:1,22:5 n-3,22:6 n-3,4:0,6:0,8:0,Alcohol,Caffeine,Calcium,Carbohydrate,"Carotene, alpha","Carotene, beta",Cholesterol,"Choline, total",Copper,"Cryptoxanthin, beta",Energy,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated","Fiber, total dietary","Folate, DFE","Folate, food","Folate, total",Folic acid,Iron,Lutein + zeaxanthin,Lycopene,Magnesium,Niacin,Phosphorus,Potassium,Protein,Retinol,Riboflavin,Selenium,Sodium,"Sugars, total",Theobromine,Thiamin,Total Fat,"Vitamin A, RAE",Vitamin B-12,"Vitamin B-12, added",Vitamin B-6,Vitamin C,Vitamin D (D2 + D3),Vitamin E (alpha-tocopherol),"Vitamin E, added",Vitamin K (phylloquinone),Water,Zinc
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted",22.9824,26,65,40.0,22.9824,21.9638,,0.005,0.003,0.08,0.794,0.11,0.445,1.429,0.193,0.005,0.0,0.006,0.044,0.002,0.0,0.011,0.001,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,77.0,80.1,0.059,0.0,162.0,1.594,0.275,1.383,0.0,5.0,5.0,5.0,0.0,2.89,0.0,0.0,15.0,7.978,272.0,387.0,30.09,2.0,0.291,27.4,67.0,0.0,0.0,0.079,3.77,2.0,2.03,0.0,0.784,0.0,0.0,0.28,0.0,1.9,64.96,4.57
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, all grades, cooked, grilled",27.6753,27,65,41.5,27.6753,28.3545,25.147,0.009,0.008,0.225,1.981,0.29,1.073,3.555,0.407,0.012,0.0,0.015,0.053,0.003,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,80.0,68.0,0.074,0.0,198.0,3.98,0.504,3.435,0.0,7.0,7.0,7.0,0.0,2.59,0.0,0.0,23.0,7.32,229.0,299.0,29.06,2.0,0.221,27.7,54.0,0.0,0.0,0.062,9.11,2.0,1.96,0.0,0.719,0.0,0.1,0.22,0.0,1.6,61.54,4.71
"Beef, ground, 90% lean meat / 10% fat, raw",26.3802,26,65,40.0,26.3802,25.903,,0.0,0.008,0.276,2.167,0.344,1.311,3.83,0.263,0.046,0.0,0.032,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,65.0,66.1,0.072,0.0,176.0,4.194,0.345,3.927,0.0,6.0,6.0,6.0,0.0,2.24,0.0,0.0,20.0,5.072,184.0,321.0,20.0,4.0,0.151,16.6,66.0,0.0,0.0,0.042,10.0,4.0,2.21,0.0,0.369,0.0,0.1,0.17,0.0,0.8,69.45,4.79
"Beef, ground, 90% lean meat / 10% fat, patty, cooked, broiled",35.1329,26,65,40.0,35.1329,,37.6188,0.0,0.009,0.315,2.517,0.396,1.595,4.407,0.314,0.057,0.0,0.034,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,88.0,83.9,0.09,0.0,217.0,4.943,0.421,4.628,0.0,8.0,8.0,8.0,0.0,2.71,0.0,0.0,22.0,5.659,202.0,333.0,26.11,3.0,0.176,21.5,68.0,0.0,0.0,0.044,11.75,3.0,2.56,0.0,0.397,0.0,0.0,0.12,0.0,1.1,61.24,6.37
"Beef, ground, 85% lean meat / 15% fat, raw (Includes foods for USDA's Food Distribution Program)",37.1286,26,65,40.0,37.1286,34.1356,,0.0,0.011,0.431,3.2,0.534,1.824,5.751,0.331,0.054,0.0,0.049,0.034,0.002,0.0,0.012,0.001,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,68.0,61.2,0.067,0.0,215.0,6.469,0.433,5.715,0.0,6.0,6.0,6.0,0.0,2.09,0.0,0.0,18.0,4.649,171.0,295.0,18.59,4.0,0.151,15.8,66.0,0.0,0.0,0.042,15.0,4.0,2.17,0.0,0.346,0.0,0.1,0.17,0.0,1.3,65.66,4.48
"Beef, ground, 85% lean meat / 15% fat, patty, cooked, broiled",43.1778,26,65,40.0,43.1778,40.4275,,0.0,0.011,0.428,3.278,0.544,1.93,5.799,0.361,0.056,0.0,0.045,0.047,0.003,0.0,0.016,0.001,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,88.0,82.4,0.085,0.0,250.0,6.668,0.484,5.895,0.0,9.0,9.0,9.0,0.0,2.6,0.0,0.0,21.0,5.378,198.0,318.0,25.93,3.0,0.176,21.5,72.0,0.0,0.0,0.046,15.41,3.0,2.64,0.0,0.382,0.0,0.0,0.12,0.0,1.2,57.98,6.31
"Beef, ground, 85% lean meat / 15% fat, crumbles, cooked, pan-browned",42.0693,26,65,40.0,42.0693,38.8981,46.1283,0.0,0.007,0.415,3.175,0.568,1.973,6.132,0.4,0.009,0.0,0.057,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,89.0,91.4,0.093,0.0,256.0,6.572,0.477,5.806,0.0,10.0,10.0,10.0,0.0,2.93,0.0,0.0,25.0,6.318,238.0,407.0,27.73,3.0,0.191,21.6,89.0,0.0,0.0,0.044,15.3,3.0,2.8,0.0,0.428,0.0,0.0,0.12,0.0,1.7,55.9,6.62
"Beef, ground, 80% lean meat / 20% fat, raw",47.4186,26,65,40.0,47.4186,,47.9313,0.0,0.014,0.592,4.279,0.724,2.362,7.672,0.42,0.065,0.0,0.066,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,71.0,56.4,0.061,0.0,254.0,8.848,0.521,7.581,0.0,7.0,7.0,7.0,0.0,1.94,0.0,0.0,17.0,4.227,158.0,270.0,17.17,4.0,0.151,15.0,66.0,0.0,0.0,0.043,20.0,4.0,2.14,0.0,0.323,0.0,0.1,0.17,0.0,1.8,61.87,4.18
"Beef, ground, 80% lean meat / 20% fat, patty, cooked, broiled",48.3653,26,65,40.0,48.3653,,,0.0,0.012,0.507,3.787,0.646,2.104,6.772,0.398,0.057,0.0,0.056,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,88.0,80.8,0.08,0.0,270.0,7.895,0.517,6.764,0.0,10.0,10.0,10.0,0.0,2.48,0.0,0.0,20.0,5.098,194.0,304.0,25.75,3.0,0.176,21.5,75.0,0.0,0.0,0.047,17.78,3.0,2.73,0.0,0.366,0.0,0.0,0.12,0.0,1.6,55.99,6.25
"Beef, ground, 80% lean meat / 20% fat, crumbles, cooked, pan-browned",46.958,26,65,40.0,46.958,,42.2956,0.0,0.008,0.443,3.344,0.603,2.501,6.414,0.424,0.009,0.0,0.057,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,89.0,84.8,0.087,0.0,272.0,7.64,0.501,6.546,0.0,11.0,11.0,11.0,0.0,2.78,0.0,0.0,23.0,5.831,226.0,380.0,27.0,3.0,0.191,21.6,91.0,0.0,0.0,0.045,17.36,3.0,2.8,0.0,0.428,0.0,0.0,0.12,0.0,1.6,54.54,6.4
"Beef, ground, 75% lean meat / 25% fat, patty, cooked, broiled",50.577,26,65,40.0,50.577,53.6107,,0.0,0.014,0.554,4.077,0.703,2.136,7.325,0.409,0.057,0.0,0.065,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,88.0,79.3,0.075,0.0,279.0,8.624,0.52,7.248,0.0,11.0,11.0,11.0,0.0,2.37,0.0,0.0,20.0,4.818,189.0,289.0,25.56,3.0,0.176,21.5,78.0,0.0,0.0,0.049,18.87,3.0,2.81,0.0,0.351,0.0,0.0,0.12,0.0,2.2,55.28,6.19
"Beef, ground, 75% lean meat / 25% fat, crumbles, cooked, pan-browned",48.9045,26,65,40.0,48.9045,49.5498,,0.0,0.01,0.42,3.112,0.546,3.151,5.679,0.394,0.009,0.0,0.045,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,89.0,81.5,0.08,0.0,277.0,8.24,0.497,6.926,0.0,12.0,12.0,12.0,0.0,2.63,0.0,0.0,22.0,5.345,214.0,354.0,26.28,3.0,0.191,21.6,93.0,0.0,0.0,0.046,18.21,3.0,2.8,0.0,0.428,0.0,0.0,0.12,0.0,2.2,54.5,6.17
"Beef, ground, 75% lean meat / 25% fat, loaf, cooked, baked",46.5075,26,65,40.0,46.5075,48.1592,44.6113,0.0,0.008,0.407,3.682,0.558,2.031,5.9,0.408,0.008,0.0,0.063,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,88.0,76.2,0.079,0.0,254.0,7.562,0.456,6.356,0.0,7.0,7.0,7.0,0.0,2.43,0.0,0.0,18.0,4.327,172.0,256.0,24.56,3.0,0.171,19.7,70.0,0.0,0.0,0.047,16.5,3.0,2.49,0.0,0.32,0.0,0.0,0.12,0.0,2.1,57.5,6.04
"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, all grades, cooked, braised",32.0485,26,65,40.0,32.0485,,31.5631,0.003,0.007,0.21,1.644,0.261,0.925,2.868,0.21,0.017,0.0,0.003,0.028,0.003,0.0,0.015,0.001,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,104.0,132.0,0.12,0.0,214.0,3.132,0.273,2.788,0.0,12.0,12.0,12.0,0.0,2.93,0.0,0.0,23.0,5.044,213.0,277.0,34.66,0.0,0.217,35.4,56.0,0.0,0.0,0.07,7.36,0.0,2.53,0.0,0.332,0.0,0.1,0.45,0.0,1.6,57.84,8.32
"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, choice, raw",15.8518,26,65,40.0,15.8518,16.8153,14.818,0.0,0.004,0.133,1.121,0.184,0.616,1.931,0.176,0.017,0.0,0.004,0.026,0.002,0.0,0.011,0.001,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,65.0,91.7,0.091,0.0,139.0,2.119,0.232,1.875,0.0,13.0,13.0,13.0,0.0,2.02,0.0,0.0,23.0,5.221,201.0,332.0,21.96,0.0,0.168,24.5,74.0,0.0,0.0,0.077,5.05,0.0,2.11,0.0,0.489,0.0,0.1,0.29,0.0,1.2,72.51,5.48
"Beef, top sirloin, steak, separable lean only, trimmed to 1/8"" fat, choice, raw",13.4986,27,65,41.5,13.4986,12.818,13.2268,0.0,0.0,0.117,1.026,0.143,0.566,1.715,0.161,0.01,0.0,0.003,0.029,0.002,0.0,0.011,0.001,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,61.0,91.5,0.073,0.0,135.0,1.86,0.214,1.709,0.0,13.0,13.0,13.0,0.0,1.63,0.0,0.0,23.0,7.42,205.0,342.0,21.91,0.0,0.107,25.5,57.0,0.0,0.0,0.061,4.62,0.0,1.19,0.0,0.601,0.0,0.1,0.33,0.0,1.3,72.51,4.14
"Snacks, sweet potato chips, unsalted",56.4616,26,65,40.0,56.4616,64.998,,0.0,0.0,0.001,1.394,0.024,0.804,8.842,11.079,1.144,0.0,0.187,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,56.82,0.0,14205.0,0.0,36.6,0.412,0.0,532.0,9.155,12.224,2.941,8.8,37.0,37.0,37.0,0.0,2.12,0.0,0.0,65.0,2.088,145.0,925.0,2.94,0.0,0.161,2.1,35.0,8.82,0.0,0.088,32.35,1184.0,0.0,0.0,0.535,0.0,0.0,9.82,0.0,24.5,4.51,0.53
"Snacks, FRITOLAY, SUNCHIPS, Multigrain Snack, original flavor",48.1677,26,65,40.0,48.1677,49.6528,49.2702,0.0,0.0,0.0,1.265,0.0,0.687,11.447,6.42,0.093,0.0,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,67.26,19.0,29.0,0.0,14.8,0.227,0.0,491.0,11.501,6.513,2.166,8.8,31.0,17.0,25.0,8.0,1.74,441.0,0.0,76.0,2.1,222.0,232.0,7.95,0.0,0.02,12.2,423.0,7.2,0.0,0.14,21.11,3.0,0.0,0.0,0.2,0.0,0.0,7.04,0.0,2.4,2.04,1.65
"Formulated bar, MARS SNACKFOOD US, SNICKERS MARATHON Protein Performance Bar, Caramel Nut Rush",-413.2416,26,65,40.0,-413.2416,-404.4933,,0.03,0.031,0.124,1.564,0.038,1.008,2.572,2.671,0.22,0.0,0.023,0.001,0.0,0.0,0.0,0.0,0.074,0.026,0.016,0.0,3.0,625.0,50.5,0.0,10.0,6.0,1.7,0.977,0.0,415.0,2.645,2.892,6.25,12.5,850.0,0.0,500.0,500.0,10.13,0.0,0.0,175.0,25.0,375.0,188.0,25.0,651.0,2.125,3.9,238.0,28.75,28.0,1.875,12.5,652.0,7.5,7.4,2.5,75.0,3.8,16.88,16.0,10.4,9.0,6.56
"Formulated bar, POWER BAR, chocolate",-223.0455,26,65,40.0,-223.0455,-241.1323,-232.9947,0.0,0.003,0.013,0.644,0.01,0.632,1.03,0.565,0.025,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.0,69.63,0.0,0.0,0.0,18.4,1.43,0.0,363.0,1.05,0.589,1.32,5.7,1046.0,0.0,615.0,615.0,11.7,0.0,0.0,248.0,32.6,614.0,362.0,14.15,0.0,1.92,7.8,308.0,30.07,0.0,8.06,3.11,0.0,5.6,5.6,2.2,92.3,0.0,8.28,8.28,1.1,9.83,9.96
"Formulated bar, SLIM-FAST OPTIMA meal bar, milk chocolate peanut",-562.6916,26,65,40.0,-562.6916,-753.0021,-649.7453,0.169,2.074,0.713,0.931,0.006,1.105,2.193,0.998,0.035,0.0,0.039,0.0,0.001,0.002,0.0,0.0,0.008,0.013,0.168,0.0,0.0,668.0,60.21,0.0,0.0,7.0,40.6,0.284,0.0,386.0,2.428,1.132,5.36,5.1,725.0,8.0,430.0,422.0,4.98,0.0,0.0,250.0,21.2,673.0,289.0,16.19,940.0,1.9,46.7,253.0,25.0,0.0,1.7,8.92,940.0,7.9,7.9,2.1,96.6,5.4,6.0,6.0,129.3,10.87,5.73
"Pretzels, soft, unsalted",53.928,26,65,40.0,53.928,,50.6352,0.0,0.0,0.009,0.446,0.0,0.243,1.07,0.892,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,71.04,0.0,0.0,0.0,17.7,0.126,0.0,345.0,1.071,0.948,0.695,1.7,24.0,24.0,24.0,0.0,3.92,17.0,0.0,21.0,4.27,79.0,88.0,8.2,0.0,0.29,17.2,252.0,0.25,0.0,0.41,3.1,0.0,0.0,0.0,0.02,0.0,0.0,0.54,0.0,2.7,15.0,0.94
"Snacks, soy chips or crisps, salted",-12.3697,26,65,40.0,-12.3697,,-11.4604,0.0,0.002,0.02,0.809,0.033,0.269,1.628,3.621,0.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,53.15,0.0,0.0,0.0,110.9,2.456,0.0,385.0,1.661,4.018,1.102,3.5,240.0,240.0,240.0,0.0,5.2,0.0,0.0,170.0,2.978,7.0,7.0,26.5,0.0,0.349,12.1,842.0,1.8,0.0,0.333,7.35,0.0,0.0,0.0,0.513,0.0,0.0,1.01,0.0,11.9,8.5,1.5
"Snacks, plantain chips, salted",28.7732,26,65,40.0,28.7732,26.5097,30.01,0.036,0.033,0.21,7.084,0.116,0.781,5.473,11.617,0.078,0.0,0.028,0.001,0.028,0.001,0.0,0.0,0.006,0.001,0.019,0.0,0.0,9.0,63.84,441.0,611.0,0.0,0.0,0.198,0.0,531.0,5.632,11.739,8.337,3.5,35.0,35.0,35.0,0.0,0.97,16.0,36.0,71.0,0.802,78.0,786.0,2.28,0.0,0.04,0.4,202.0,0.92,0.0,0.065,29.59,69.0,0.0,0.0,0.46,32.1,0.0,5.04,0.0,28.6,2.09,0.37
"Snacks, vegetable chips, HAIN CELESTIAL GROUP, TERRA CHIPS",7.343,26,65,40.0,7.343,7.0702,7.0768,0.0,0.0,0.003,1.118,0.055,0.525,15.029,4.696,2.231,0.0,0.318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,57.97,1.0,1138.0,0.0,27.5,0.433,41.0,517.0,15.409,6.93,1.887,10.9,87.0,87.0,87.0,0.0,1.64,0.0,0.0,86.0,1.768,198.0,1266.0,4.13,0.0,0.131,3.2,246.0,9.75,0.0,0.227,29.81,97.0,0.0,0.0,0.53,12.1,0.0,8.16,0.0,44.5,4.54,1.15
"Formulated bar, ZONE PERFECT CLASSIC CRUNCH BAR, mixed flavors",-53.4236,26,65,40.0,-53.4236,-53.1838,,0.156,1.969,0.693,0.989,0.017,0.544,3.811,4.731,0.072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.009,0.138,0.0,11.0,200.0,45.0,0.0,0.0,8.0,73.0,0.774,0.0,426.0,3.828,4.804,4.499,2.0,272.0,0.0,160.0,160.0,3.6,2.0,0.0,80.0,20.0,300.0,250.0,30.0,1050.0,1.7,3.9,444.0,27.0,99.0,0.75,14.0,1050.0,4.2,4.2,2.0,120.0,0.0,24.0,24.0,1.6,7.0,7.5
"Snacks, granola bar, KASHI GOLEAN, chewy, mixed flavors",-90.4104,26,65,40.0,-90.4104,-84.9161,-85.9609,0.133,1.005,0.512,0.96,0.047,0.395,2.471,1.033,0.195,0.0,0.03,0.0,0.0,0.01,0.0,0.0,0.072,0.044,0.094,0.0,3.0,103.0,63.42,0.0,5.0,6.0,48.4,0.382,1.0,390.0,2.558,1.228,3.227,7.7,39.0,38.0,39.0,1.0,1.62,43.0,0.0,321.0,0.68,255.0,429.0,16.67,16.0,0.151,11.3,321.0,42.31,31.0,0.135,7.69,17.0,0.16,0.0,0.095,0.4,0.2,0.81,0.0,3.6,9.23,1.4
"Snacks, granola bar, KASHI TLC Bar, chewy, mixed flavors",20.6162,26,65,40.0,20.6162,20.089,19.5937,0.0,0.001,0.003,0.934,0.071,0.21,9.291,3.876,0.193,0.0,0.034,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,53.26,0.0,1.0,0.0,46.7,0.506,1.0,429.0,9.486,4.181,1.213,11.4,46.0,44.0,45.0,1.0,3.39,38.0,0.0,107.0,1.158,271.0,415.0,18.57,1.0,0.289,9.1,293.0,17.14,0.0,0.115,15.71,2.0,0.0,0.0,0.063,0.0,0.0,7.14,0.0,2.7,9.34,1.6
"Snacks, granola bar, chewy, reduced sugar, all flavors",58.3505,26,65,40.0,58.3505,,61.2077,0.19,1.413,0.547,1.521,0.012,1.014,5.287,1.415,0.025,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.001,0.019,0.24,0.0,0.0,417.0,69.4,0.0,1.0,0.0,15.5,0.163,0.0,412.0,5.303,1.44,5.008,3.1,17.0,17.0,17.0,0.0,2.03,47.0,0.0,48.0,1.049,159.0,199.0,5.55,0.0,0.116,5.7,312.0,20.8,1.0,0.19,12.5,0.0,0.09,0.0,0.089,0.1,0.0,1.52,0.0,2.3,11.65,1.34
"Snacks, granola bites, mixed flavors",50.3144,26,65,40.0,50.3144,,47.9962,0.257,2.987,0.962,4.395,0.019,0.866,3.173,2.321,0.226,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.007,0.031,0.346,0.0,0.0,41.0,66.27,0.0,3.0,0.0,31.2,0.247,0.0,451.0,3.194,2.546,9.888,5.7,38.0,26.0,33.0,7.0,1.56,82.0,0.0,69.0,2.318,216.0,285.0,7.17,2.0,0.146,20.0,167.0,30.0,0.0,0.199,17.5,2.0,0.07,0.0,0.143,0.2,0.0,2.51,0.0,9.1,7.88,1.92
"Snacks, pita chips, salted",40.0287,26,65,40.0,40.0287,,42.5985,0.002,0.0,0.007,0.676,0.017,0.448,10.768,2.024,0.099,0.0,0.049,0.002,0.001,0.003,0.0,0.0,0.003,0.0,0.001,0.0,0.0,17.0,68.26,0.0,0.0,0.0,9.1,0.141,0.0,457.0,10.842,2.13,1.342,3.8,215.0,22.0,135.0,114.0,4.59,15.0,0.0,37.0,7.043,124.0,129.0,11.79,0.0,0.307,33.1,854.0,4.76,0.0,0.56,15.2,0.0,0.0,0.0,0.109,0.0,0.0,6.93,0.0,1.2,2.0,0.96
"Snacks, granola bars, soft, almond, confectioners coating",38.5633,26,65,40.0,38.5633,,45.2897,0.207,2.431,0.908,1.506,0.082,0.392,9.399,3.628,0.014,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.018,0.022,0.177,0.0,0.0,136.0,60.13,0.0,1.0,0.0,27.1,0.337,0.0,455.0,9.491,3.643,5.668,4.3,18.0,18.0,18.0,0.0,1.49,15.0,0.0,95.0,1.318,192.0,320.0,8.6,5.0,0.36,6.5,486.0,34.0,0.0,0.102,20.0,5.0,0.14,0.0,0.072,0.2,0.0,7.6,0.0,1.5,8.74,1.41
"Snacks, granola bars, QUAKER OATMEAL TO GO, all flavors",-64.9469,26,65,40.0,-64.9469,,-65.5111,0.0,0.004,0.013,1.076,0.04,0.199,1.478,2.329,0.207,0.001,0.012,0.012,0.006,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,333.0,75.47,2.0,3.0,36.0,47.3,0.173,1.0,389.0,1.531,2.559,1.299,4.6,113.0,20.0,75.0,54.0,6.0,58.0,0.0,69.0,6.667,167.0,238.0,6.67,235.0,0.567,16.0,367.0,31.54,0.0,0.5,6.67,236.0,0.08,0.0,0.667,0.9,0.1,2.25,0.0,6.9,9.86,1.42
"Snacks, vegetable chips, made from garden vegetables",58.6213,26,65,40.0,58.6213,55.953,63.5069,0.001,0.008,0.002,1.034,0.051,0.491,14.212,4.475,2.127,0.0,0.303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,60.43,0.0,102.0,0.0,31.5,0.232,0.0,473.0,14.566,6.602,1.762,4.7,16.0,16.0,16.0,0.0,1.55,0.0,7248.0,53.0,2.767,130.0,838.0,5.32,0.0,0.059,1.0,412.0,4.04,0.0,0.133,23.3,9.0,0.0,0.0,0.545,4.9,0.0,4.84,0.0,17.5,6.31,0.5
"Formulated bar, high fiber, chewy, oats and chocolate",-34.61,26,65,40.0,-34.61,-32.5171,-32.4211,0.066,0.838,0.31,1.417,0.023,0.67,3.476,2.089,0.245,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.059,0.0,3.0,250.0,69.82,0.0,0.0,0.0,12.4,0.262,0.0,389.0,3.522,2.334,3.397,22.5,43.0,22.0,35.0,12.0,0.9,65.0,0.0,190.0,7.903,419.0,447.0,5.0,0.0,0.091,8.9,237.0,25.0,24.0,0.688,10.0,0.0,0.0,0.0,0.963,1.2,0.0,1.47,0.0,2.6,12.04,1.96
"Snacks, bagel chips, plain",41.8996,26,65,40.0,41.8996,39.3399,40.8609,0.007,0.062,0.161,5.883,0.031,0.613,5.975,2.015,0.059,0.0,0.034,0.004,0.003,0.002,0.0,0.0,0.003,0.0,0.006,0.0,0.0,24.0,66.36,0.0,0.0,0.0,17.8,0.167,0.0,451.0,6.05,2.085,6.835,4.1,220.0,30.0,142.0,112.0,5.05,14.0,0.0,39.0,7.66,131.0,140.0,12.34,0.0,0.337,36.2,233.0,6.02,0.0,0.523,15.14,0.0,0.0,0.0,0.117,0.0,0.0,0.81,0.0,5.2,5.05,1.0
"Snacks, NUTRI-GRAIN FRUIT AND NUT BAR",-108.0847,26,65,40.0,-108.0847,-104.8793,-105.0958,0.041,0.561,0.175,0.766,0.034,0.328,5.664,2.52,0.061,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.05,0.0,0.0,65.0,66.72,0.0,5.0,0.0,24.0,0.436,0.0,403.0,5.705,2.581,1.93,7.5,203.0,18.0,127.0,109.0,5.65,40.0,0.0,105.0,6.442,290.0,328.0,9.38,266.0,0.616,11.3,195.0,32.45,0.0,0.465,10.93,267.0,1.16,1.14,0.612,0.2,0.8,3.72,0.0,1.2,11.26,3.28
"Snacks, CLIF BAR, mixed flavors",-49.8099,26,65,40.0,-49.8099,-53.3759,,0.0,0.005,0.012,0.533,0.011,0.117,1.082,1.963,0.219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,65.44,0.0,12.0,0.0,46.2,0.441,0.0,346.0,1.093,2.182,1.471,7.4,118.0,118.0,118.0,0.0,6.62,37.0,0.0,147.0,4.412,294.0,412.0,14.71,0.0,0.375,20.6,195.0,31.62,0.0,0.551,5.88,1.0,1.32,0.0,0.588,88.2,0.0,0.24,0.0,36.8,11.0,4.41
"Snacks, granola bar, QUAKER, chewy, 90 Calorie Bar",41.6797,26,65,40.0,41.6797,40.6809,40.6956,0.024,0.137,0.07,0.884,0.025,0.887,2.893,1.798,0.129,0.0,0.02,0.0,0.0,0.006,0.0,0.0,0.004,0.005,0.024,0.0,5.0,333.0,79.17,1.0,32.0,0.0,24.4,0.307,0.0,408.0,2.945,1.929,2.083,4.2,17.0,17.0,17.0,0.0,1.5,32.0,0.0,71.0,1.064,152.0,224.0,4.17,0.0,0.076,10.1,313.0,29.17,57.0,0.189,8.33,3.0,0.03,0.0,0.122,0.5,0.0,2.23,0.0,2.8,6.23,1.23
"Snacks, granola bar, GENERAL MILLS NATURE VALLEY, SWEET&SALTY NUT, peanut",-19.5973,26,65,40.0,-19.5973,-20.958,-22.9987,0.003,0.002,0.037,5.238,0.068,1.299,8.939,4.552,0.589,0.0,0.066,0.0,0.0,0.0,0.0,0.0,0.006,0.002,0.001,0.0,0.0,57.0,61.14,0.0,0.0,0.0,49.1,0.339,0.0,487.0,9.083,5.141,6.857,2.9,78.0,21.0,55.0,33.0,1.44,9.0,0.0,102.0,3.413,272.0,390.0,9.14,142.0,0.528,10.0,414.0,33.14,0.0,0.357,22.86,142.0,0.25,0.0,0.32,0.3,0.0,6.89,0.0,11.7,3.7,1.77
"Snacks, granola bar, GENERAL MILLS, NATURE VALLEY, with yogurt coating",-164.2274,26,65,40.0,-164.2274,,-165.0134,0.003,0.003,0.02,1.004,0.027,0.241,6.212,2.661,0.815,0.0,0.132,0.0,0.0,0.0,0.0,0.0,0.004,0.002,0.001,0.0,0.0,286.0,74.29,0.0,0.0,0.0,19.6,0.173,0.0,423.0,6.372,3.476,1.372,4.4,205.0,14.0,126.0,112.0,1.03,0.0,0.0,62.0,7.302,191.0,168.0,5.71,475.0,0.542,12.3,271.0,40.0,0.0,0.905,11.43,475.0,0.01,0.0,0.708,0.0,0.0,1.7,0.0,6.9,7.18,1.58
"Snacks, granola bar, GENERAL MILLS, NATURE VALLEY, CHEWY TRAIL MIX",-88.3455,26,65,40.0,-88.3455,-84.867,,0.0,0.0,0.01,1.117,0.028,0.26,4.486,3.619,0.408,0.0,0.068,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,72.27,0.0,1.0,0.0,28.6,0.226,0.0,415.0,4.585,4.028,1.435,3.8,142.0,21.0,92.0,72.0,8.71,0.0,0.0,63.0,5.443,168.0,189.0,5.71,302.0,0.391,10.5,185.0,42.86,0.0,0.64,11.43,302.0,0.0,0.0,0.52,0.1,0.0,2.66,0.0,7.5,9.3,1.35
